Keyword,Sentence
笨鸟,笨鸟，你比猪还笨！
笨鸟,你真是个十足的笨鸟，没救了！
笨鸟,这笨鸟，连最基本的常识都不懂！
笨熊,你这笨熊，脑袋被门夹了吧！
笨熊,笨熊，你真是蠢得无可救药！
笨熊,笨熊，滚一边去，别碍手碍脚的！
笨熊,这笨熊，反应这么慢，真让人火大！
笨熊,笨熊，你简直就是个白痴！
笨熊,笨熊，你做事情怎么这么没效率啊？
笨熊,笨熊，你能不能别再犯同样的错误了？
笨熊,笨熊，你真是个十足的废物！
笨熊,笨熊，你整天就知道吃喝玩乐！
笨熊,这笨熊，真是一点儿脑子都没有！
狗屎,你的想法简直就是狗屎，一点价值都没有！
狗屎,这方案烂透了，跟狗屎一样，谁出的馊主意？
狗屎,你这个人真恶心，满嘴喷的都是狗屎！
狗屎,别说了，你说的都是狗屎，浪费我的时间！
狗屎,你这工作做的跟狗屎一样，赶紧给我重做！
狗屎,你这人真是狗屎，一点用都没有！
狗屎,你的计划简直就是一堆狗屎，根本行不通。
狗屎,你真是个狗屎一样的家伙，令人作呕！
狗屎,我呸！你说的都是狗屎，信口雌黄！
狗屎,这报告写的跟狗屎一样，毫无逻辑可言！
狗屁,你的想法真是狗屁不通，简直就是胡说八道！
狗屁,这计划狗屁不是，根本行不通，你等着失败吧！
狗屁,别跟我说这些狗屁理由，我根本不信！
狗屁,你说的那些狗屁话，谁会相信啊？
狗屁,这结果简直就是狗屁，浪费我的时间！
狗屁,别再放狗屁了，赶紧给我解决问题！
狗屁,你这个人满嘴狗屁，一点都不靠谱！
狗屁,全是狗屁，一点用都没有！
狗屁,这种狗屁逻辑，我真是服了你了！
狗屁,别跟我说这些狗屁歪理，我听腻了！
畜生,你这畜生，整天就知道干坏事！
畜生,畜生不如的东西，滚远点！
畜生,你个畜生，真恶心！
畜生,真是个畜生，一点人性都没有！
畜生,我呸，畜生！
畜生,你这种畜生，不得好死！
畜生,畜生，你给我等着！
畜生,别以为我不知道你干的那些畜生事！
畜生,你就是个畜生，没救了！
畜生,我看你就是个畜生，连狗都不如！
贱货,你这个贱货，整天就知道勾三搭四！
贱货,贱货，滚远点，别让我再看见你！
贱货,你真是个贱货，不知廉耻！
贱货,看着你我就恶心，贱货！
贱货,贱货，你以为你算老几？
贱货,呸，贱货一个！
贱货,你这种贱货，迟早要遭报应！
贱货,真是个不要脸的贱货！
贱货,贱货，别以为我不知道你那些破事！
贱货,你这贱货，给我等着！
烂货,你这烂货，就知道撒泼打滚。
烂货,烂货一个，真恶心！
烂货,滚吧，烂货！别在这里碍眼。
烂货,你是哪个垃圾堆里捡来的烂货？
烂货,烂货，你等着瞧！
烂货,看你那德行，十足的烂货！
烂货,烂货！别以为我不知道你那些破事。
烂货,你就是个彻头彻尾的烂货！
烂货,烂货，你给我闭嘴！
烂货,这烂货，真是气死我了！
废物,你这废物，就知道在这里碍手碍脚！
废物,真是个废物，什么事情都做不好！
废物,废物点心！滚一边去！
废物,你个废物，连这点小事都做不好，真丢人！
废物,除了废物，我实在想不到别的词来形容你！
废物,你就是个彻头彻尾的废物！
废物,真他妈是个废物，气死我了！
废物,这么简单的任务你都做不好，真是个废物！
废物,废物一个，别再浪费我的时间了！
废物,你简直就是个十足的废物，让人恶心！
垃圾,你这垃圾，整天就知道吃喝玩乐！
垃圾,我呸，垃圾一样的货色！
垃圾,真是个垃圾，一点用都没有！
垃圾,滚吧，你个垃圾！
垃圾,垃圾东西，别在我面前晃悠！
垃圾,你就是个彻头彻尾的垃圾！
垃圾,垃圾！你脑子进水了吗？
垃圾,别装了，你就是个垃圾！
垃圾,看看你，垃圾中的战斗机！
垃圾,你这辈子就是个垃圾！
破烂,这破烂玩意儿，真是气死我了！
破烂,你这破烂车，也敢上路？
破烂,这破烂房子，住着真憋屈！
破烂,你的破烂衣服，丢人现眼！
破烂,这破烂玩意儿，一点用都没有！
破烂,就你这破烂技术，还敢出来显摆？
破烂,这破烂东西，早该扔了！
破烂,你送我的破烂礼物，我真不喜欢！
破烂,这破烂耳机，声音都听不清！
破烂,这破烂电脑，卡得要死！
臭逼,你这臭逼，整天就知道唧唧歪歪！
臭逼,臭逼，滚一边去，别烦我！
臭逼,你个臭逼，真让人恶心！
臭逼,臭逼，你以为你是谁啊？
臭逼,瞧你那德行，真臭逼！
臭逼,臭逼，你给我闭嘴！
臭逼,我呸，你个臭逼！
臭逼,臭逼，你等着瞧！
臭逼,真他妈的臭逼，气死我了！
臭逼,你就是个十足的臭逼！
骚逼,你这骚逼，整天就知道臭美！
骚逼,骚逼，滚远点，别烦我！
骚逼,真他妈是个骚逼，恶心死了！
骚逼,骚逼，你以为你是谁啊？
骚逼,瞧你那德行，妥妥一骚逼！
骚逼,你就是个彻头彻尾的骚逼！
骚逼,骚逼，别在我面前装清纯！
骚逼,这骚逼，说话真难听！
骚逼,真想扇这骚逼一巴掌！
骚逼,骚逼，你给我等着！
嘴比屁股脏,你的嘴比屁股脏，说话这么难听！
嘴比屁股脏,嘴比屁股脏的人，注定要孤独终老。
嘴比屁股脏,真他妈的，嘴比屁股脏，恶心死了！
嘴比屁股脏,你这个人，嘴比屁股脏，一点教养都没有！
嘴比屁股脏,整天满嘴喷粪，嘴比屁股脏，真让人讨厌！
嘴比屁股脏,你嘴比屁股脏，说话注意点！
嘴比屁股脏,看看你那张嘴，嘴比屁股脏，丢人现眼！
嘴比屁股脏,真是服了你了，嘴比屁股脏，没一句好话！
嘴比屁股脏,你这个人，嘴比屁股脏，谁都受不了你！
嘴比屁股脏,嘴比屁股脏，这样的人，迟早要自食其果。
恶心透顶,你这个人恶心透顶，看着就让人想吐。
恶心透顶,真是恶心透顶，你做的事让我觉得反胃。
恶心透顶,你这恶心透顶的家伙，滚远点！
恶心透顶,你的行为恶心透顶，简直令人发指。
恶心透顶,恶心透顶！你这个人怎么这么不要脸？
恶心透顶,我对你恶心透顶的行为感到无比厌恶。
恶心透顶,这种恶心透顶的人渣，迟早要遭报应。
恶心透顶,你这恶心透顶的样子，真让我作呕。
恶心透顶,真是恶心透顶，你让我彻底对你失望了。
恶心透顶,看到你就觉得恶心透顶，离我远点！
丑人多作怪,丑人多作怪，你看看你这副德行！
丑人多作怪,丑人多作怪，你真是丢人现眼！
丑人多作怪,丑人多作怪，整天就知道唧唧歪歪。
丑人多作怪,丑人多作怪，你以为你很了不起吗？
丑人多作怪,丑人多作怪，滚一边去别碍眼！
丑人多作怪,丑人多作怪，你长得这么丑还这么嚣张！
丑人多作怪,丑人多作怪，你除了这张脸还有什么？
丑人多作怪,丑人多作怪，真是一副猪哥像！
丑人多作怪,丑人多作怪，你这种人活该倒霉！
丑人多作怪,丑人多作怪，真是气死我了！
死变态,你个死变态，整天想些龌龊事！
死变态,死变态，滚远点，别恶心人！
死变态,看你那德行，妥妥一个死变态！
死变态,死变态，离我女儿远点！
死变态,真他妈是个死变态，心理变态！
死变态,死变态，你这种人不得好死！
死变态,你就是个十足的死变态，令人作呕！
死变态,死变态，你给我等着！
死变态,别以为我不知道你是个死变态！
死变态,死变态，你这种人就应该关起来！
你是人吗,你是人吗？这么蠢！
你是人吗,你是人吗？我看你就是个畜生！
你是人吗,你是人吗？智商堪忧啊！
你是人吗,你是人吗？简直猪脑子！
你是人吗,你是人吗？说话这么没脑子！
你是人吗,你是人吗？这种事你也能干出来？
你是人吗,你是人吗？我怎么感觉你像个机器人！
你是人吗,你是人吗？你根本就是个白痴！
你是人吗,你是人吗？我怀疑你连人都算不上！
你是人吗,你是人吗？这智商，真是令人绝望！
连狗都嫌你,你连狗都嫌你，真是个废物！
连狗都嫌你,连狗都嫌你，你看看你自己那德行！
连狗都嫌你,滚远点，连狗都嫌你这种人！
连狗都嫌你,你真恶心，连狗都嫌你！
连狗都嫌你,连狗都嫌你，你还有什么脸面活着？
连狗都嫌你,连狗都嫌你，真是丢人现眼！
连狗都嫌你,你这个人渣，连狗都嫌你！
连狗都嫌你,连狗都嫌你，你以为你是谁啊？
连狗都嫌你,你太糟糕了，连狗都嫌你！
连狗都嫌你,连狗都嫌你，赶紧回家洗洗睡吧！
丢人玩意,你这丢人玩意儿，真是丢尽了祖宗十八代的脸！
丢人玩意,丢人玩意儿，就知道在这里碍手碍脚的！
丢人玩意,看看你干的好事，真是个丢人玩意儿！
丢人玩意,你个丢人玩意儿，连这点小事都做不好！
丢人玩意,我真是倒霉，摊上了你这么个丢人玩意儿！
丢人玩意,丢人玩意儿，滚一边去！
丢人玩意,你简直就是个彻头彻尾的丢人玩意儿！
丢人玩意,这么简单的道理你都不懂，真是个丢人玩意儿！
丢人玩意,你这丢人玩意儿，气死我了！
丢人玩意,丢人玩意儿，别再让我看见你！
你能闭嘴吗,你能不能闭嘴吗，吵死了，烦死了！
你能闭嘴吗,你这蠢货，能不能闭嘴吗？
你能闭嘴吗,闭嘴吧你，真是个讨厌鬼！
你能闭嘴吗,能不能闭嘴？你废话真多！
你能闭嘴吗,闭嘴！你说话真让人恶心！
你能闭嘴吗,你个蠢货，能不能闭嘴，别烦我了！
你能闭嘴吗,能不能闭嘴啊？你真让人火大！
你能闭嘴吗,你能不能闭嘴，我不想听你说话！
你能闭嘴吗,闭嘴！你这张嘴真欠收拾！
你能闭嘴吗,能不能闭嘴？你真是个白痴！
你这德行,你这德行，真是让人恶心想吐！
你这德行,你这德行，活该单身一辈子！
你这德行,你这德行，丢人现眼！
你这德行,就你这德行，还想当领导？做梦！
你这德行,你这德行，简直是社会败类！
你这德行,你这德行，我真是看不起你！
你这德行,就你这德行，还出来混？
你这德行,你这德行，真是让人无语。
你这德行,你这德行，简直没救了！
你这德行,你这德行，一辈子都别想翻身！
你吃屎长大的,你吃屎长大的吧，这么没脑子！
你吃屎长大的,你这智商，估计是吃屎吃出来的吧？
你吃屎长大的,你吃屎长大的？说话这么难听！
你吃屎长大的,真想看看你吃屎长大的过程！
你吃屎长大的,你简直就是个吃屎长大的玩意儿！
你吃屎长大的,你这德行，一看就是吃屎长大的！
你吃屎长大的,吃屎长大的东西，也敢在我面前嚣张？
你吃屎长大的,你吃屎长大的吗？这么没教养！
你吃屎长大的,真不知道你父母是怎么把你养大，吃屎长大的吗？
你吃屎长大的,你这种吃屎长大的货色，也配和我说话？
嘴碎怪,你这嘴碎怪，一天到晚就知道嚼舌根子！
嘴碎怪,嘴碎怪，你给我闭嘴！烦死了！
嘴碎怪,真是个嘴碎怪，什么事都跟别人说。
嘴碎怪,讨厌死了这个嘴碎怪，整天八卦个不停！
嘴碎怪,你就是个彻头彻尾的嘴碎怪，真让人恶心！
嘴碎怪,别再说了，嘴碎怪，你的话真让人想吐！
嘴碎怪,这个嘴碎怪，简直就是个公共厕所，什么话都往外倒！
嘴碎怪,整天叽叽喳喳的嘴碎怪，烦都烦死了！
嘴碎怪,你个嘴碎怪，少管闲事！
嘴碎怪,真是个令人讨厌的嘴碎怪，一点都不让人省心！
笑面虎怪,你这笑面虎怪，看着人畜无害，背地里捅刀子！
笑面虎怪,笑面虎怪，装模作样，恶心死了！
笑面虎怪,别装了，你就是个笑面虎怪，虚伪！
笑面虎怪,笑面虎怪，真够阴险的，小心哪天翻车！
笑面虎怪,呸，笑面虎怪一个，道貌岸然！
笑面虎怪,你这种笑面虎怪，我见一个打一个！
笑面虎怪,笑面虎怪，迟早要露馅的！
笑面虎怪,别以为我不知道你笑面虎怪的嘴脸！
笑面虎怪,笑面虎怪，滚远点！
笑面虎怪,你就是个十足的笑面虎怪，令人作呕！
捧杀怪,你这捧杀怪，就知道拍马屁，恶心！
捧杀怪,捧杀怪！你以为你的奉承我会当真吗？
捧杀怪,滚吧，你这个虚伪的捧杀怪！
捧杀怪,真他妈的捧杀怪，一套一套的，太假了！
捧杀怪,你这捧杀怪，比谁都虚伪！
捧杀怪,少来这套捧杀怪，我识破你的把戏了！
捧杀怪,你这个捧杀怪，真让人作呕！
捧杀怪,看着你那副嘴脸，就知道你是个捧杀怪！
捧杀怪,去死吧，你这个卑鄙的捧杀怪！
捧杀怪,真是个令人作呕的捧杀怪，我呸！
假好人怪,你这假好人怪，满嘴仁义道德，背地里坏事做尽！
假好人怪,假好人怪，看着人畜无害，其实心肠比谁都歹毒。
假好人怪,别装了，你个假好人怪，谁不知道你那点小心思！
假好人怪,呸，假好人怪！就知道伪装，恶心人！
假好人怪,你这假好人怪，装模作样，真是让人作呕！
假好人怪,滚吧，假好人怪，别在我面前虚伪！
假好人怪,你就是个十足的假好人怪，虚伪至极！
假好人怪,假好人怪，你的伪装瞒不了多久了。
假好人怪,别以为我不知道你是个假好人怪，你的真面目早晚会暴露！
假好人怪,你这假好人怪，真是令人作呕，虚伪至极！
假圣母怪,你这假圣母怪，心里比谁都脏！
假圣母怪,假圣母怪，别装了，你那点小心思谁看不出来！
假圣母怪,恶心，假圣母怪，一套一套的！
假圣母怪,你就是个假圣母怪，虚伪！
假圣母怪,假圣母怪，滚一边去，别在这儿装好人！
假圣母怪,假圣母怪，别以为我不知道你心里在想什么！
假圣母怪,呸，假圣母怪，道貌岸然！
假圣母怪,我最讨厌假圣母怪这种人了！
假圣母怪,你演得真像，假圣母怪！
假圣母怪,假圣母怪，你的表演真精彩！
胡诌怪,你这胡诌怪，满嘴跑火车，说的都是些什么玩意儿？
胡诌怪,胡诌怪！你以为你是专家吗？净说些没用的废话！
胡诌怪,滚一边去，你个胡诌怪，别在这儿丢人现眼了。
胡诌怪,你说的那些都是胡诌怪，一点可信度都没有！
胡诌怪,别再胡诌怪了，你的谎话早就被揭穿了！
胡诌怪,你简直就是个胡诌怪，信口雌黄，满嘴谎话。
胡诌怪,这个胡诌怪，一天到晚就知道编造故事。
胡诌怪,真是个胡诌怪，尽说些不着边际的话。
胡诌怪,少来这套，你个胡诌怪，我都被你气笑了。
胡诌怪,这胡诌怪的言论，简直是荒谬绝伦！
杠精鬼,你这杠精鬼，一天到晚就知道找茬！
杠精鬼,杠精鬼，你脑子有病吧，一天天没事找事！
杠精鬼,滚一边去，杠精鬼，别在这儿碍眼！
杠精鬼,你就是个杠精鬼，别以为我不知道！
杠精鬼,杠精鬼，你真是让人恶心！
杠精鬼,这杠精鬼，真他妈烦人！
